mean_spectral_centroid,std_spectral_centroid,mean_spectral_bandwidth,std_spectral_bandwidth,mean_spectral_contrast,mean_spectral_flatness,mean_spectral_rolloff,zero_crossing_rate,rms_energy,mean_pitch,min_pitch,max_pitch,std_pitch,spectral_skew,spectral_kurtosis,energy_entropy,log_energy,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,gender,age
2523.2318269560446,1832.9829413443667,1149.6540825788586,526.5891322588329,33.62033199863918,0.05538343,3647.6063829787236,0.23782413563829788,0.09150903,1751.8302,165.6512,3992.9932,1118.4491,1.1351179346235507,0.25713581221217474,24.511467,2.151977,-319.19797,160.5965,42.2889,65.06045,-9.746051,63.02866,22.883816,53.128754,-44.985798,49.024494,-17.262833,34.934532,-22.154043,27.386553,-7.5121284,24.925056,-15.071038,18.325323,-3.6665516,14.875398,-2.9213023,14.4675865,-17.671968,19.096952,-2.1699255,18.75107,female,senior
1542.2136057812374,1001.2617030133863,1316.9905252272936,641.0440931138,35.87228873325877,0.014409241,2649.85039893617,0.13636033078457446,0.066258706,1329.4478,154.109,3993.81,1110.0742,1.6680864853432475,4.1066381958890705,17.964602,1.8291063,-378.51474,122.182304,50.242256,56.909557,8.744128,37.855198,18.470295,40.980576,-8.743516,24.169535,-5.99234,28.274618,-5.048949,14.827334,-24.448349,23.947596,-11.035462,24.16764,-19.792757,20.329224,-10.728235,16.50488,-16.580048,15.173723,-0.31664142,14.779031,female,senior
2179.9932525590543,1543.6763353414563,1444.14631284461,675.6372521764487,31.597122205765135,0.117705345,3679.936835106383,0.17958880485372342,0.06175263,1308.2037,155.22166,3995.0085,1086.8508,1.091506352963081,0.0014093214144255128,18.024334,1.758676,-348.7184,125.25849,45.713943,62.635864,14.127959,42.553688,6.2636867,47.790558,-14.724494,29.36523,-1.2418106,25.270832,-11.333687,21.333036,-17.927416,18.170744,-12.357347,25.271338,-19.839151,18.979174,-4.2287536,12.9084,-11.578573,12.454902,2.1651487,17.419746,female,senior
2301.6479780466348,2046.3311338410804,1019.4036592543227,636.8723776190263,27.819355959342797,0.40834367,2940.0764627659573,0.16040558510638298,0.04350337,1389.5989,153.86932,3984.077,1241.8602,0.7516900634228542,-1.1452268227604319,13.664573,1.4083779,-441.37283,170.47647,49.564304,75.28879,1.422567,36.17921,6.63672,26.370968,-6.424803,35.279335,-2.042351,27.505688,-2.3343096,21.08096,-15.35912,21.863207,-6.2930274,17.802631,-15.956167,18.503403,-2.36163,12.041576,-11.663919,14.523246,-3.1083052,12.931184,female,senior
2025.0160793390085,1705.2810116276144,1226.4777974111068,738.0855316050911,30.073967904195936,0.13501664,3010.555186170213,0.139892578125,0.062946804,1109.619,153.81148,3992.1882,944.44507,1.170109409778081,0.19252493892798794,16.65045,1.7778294,-386.68118,145.21873,45.693905,53.713314,10.21395,34.80553,19.585003,45.208546,1.3707842,30.034405,-3.4825473,23.838259,-7.863928,23.736994,-21.14662,26.869646,-14.291027,19.545015,-17.98688,20.490236,-5.0983424,14.03331,-16.245848,16.547665,3.4597044,16.467356,female,senior
1890.920878316273,1648.0769182396414,1163.4037497498473,759.3402707097915,29.83506569384689,0.13278194,2912.067819148936,0.12377410239361702,0.077541925,981.6575,155.43394,3991.7065,819.0961,1.311702067340044,0.45434841051205677,19.739843,1.9863583,-366.05008,147.34702,49.872746,53.47777,12.655206,36.664013,20.185968,47.372505,0.61533475,30.513155,-2.6802008,24.660408,-6.230095,24.09803,-21.102057,26.954317,-14.892565,20.459223,-18.61617,20.763287,-5.0241103,14.502792,-15.483548,15.975116,4.928332,17.078415,female,senior
2013.8647316516865,1718.4456787631946,1113.9529927359508,639.4166985150539,30.534572230870186,0.122414954,3099.9833776595747,0.1769292303856383,0.07344226,1351.866,152.48315,3995.0437,1220.6866,0.9899609887301288,-0.23360893037397412,17.723736,1.932039,-371.3307,151.89592,38.24031,55.431168,-0.46833038,38.610138,24.621561,48.975624,-0.4894621,17.335203,-11.040657,19.05393,-9.879493,20.513926,-16.924278,19.55661,-9.912486,18.294891,-16.115849,22.651075,-10.428067,20.07952,-11.362422,15.337786,-0.3100156,8.152392,female,senior
2615.35134575594,2161.8236517395267,1256.2087557032264,682.0901141618449,30.41300335664589,0.24072236,3851.063829787234,0.12959711602393617,0.070143916,1388.0947,159.9106,3985.2632,1088.2041,1.137191850544661,-0.059618149413699584,20.39156,1.8860886,-350.9103,150.84538,57.458282,65.62598,1.6874057,44.860924,23.724121,46.57922,-19.364046,29.37131,-5.3570943,18.029152,-18.367037,23.191807,-15.816901,16.725859,-20.707756,23.849794,-16.869839,17.70572,-8.896177,14.21497,-7.137368,13.524289,-4.9719214,13.584435,female,senior
2248.4657922162105,1622.0148363448695,1359.6265653702094,727.3969530647015,29.962055715964123,0.22182992,3567.154255319149,0.14127950465425532,0.056216676,1229.5491,153.4643,3995.1775,1156.5245,1.0379958625572212,-0.1751584974816458,16.589136,1.664753,-385.1512,165.45078,56.670338,67.025085,2.1112478,47.564003,2.8797338,42.86358,-21.07496,33.960075,2.3941922,24.22353,-0.529123,15.073291,-23.632616,23.940306,-8.858646,21.87844,-21.129076,21.043512,-4.422557,21.79288,-8.612413,14.385105,-2.120494,9.288376,female,senior
1027.5890942457029,1583.451140874567,592.284071585196,846.4411999473408,22.255694973532908,0.62031496,1663.3976063829787,0.09504862034574468,0.030242823,1535.3984,156.03316,3989.2866,1186.8016,1.8391956485980934,3.0821422818477098,9.017002,1.0447985,-470.84332,168.60326,28.308228,59.284164,-4.8504095,35.747536,-1.1801641,22.037209,-12.479457,26.28967,-3.774283,14.446017,-9.288677,23.435253,-4.970365,18.832115,-3.57709,9.908626,-5.7324934,16.897272,-4.1539345,10.189269,-5.254474,12.428148,1.3843397,9.780877,female,senior
